id,post_id,user_id,view_time_seconds,like_time_seconds,inspiration_time_seconds,rating_percent,rated_posts_time_seconds,slug,title,identifier,username
69,56.0,1,0.0,0.0,0.0,26.0,55418.0,new-culture-e-acc,new culture e/acc,sTOlg-4,valentine360
70,540.0,47,1518.0,0.0,0.0,0.0,0.0,is-e-acc-religion,is e/acc religion?,mXqKi8Y,000146.566787d21ddf4b49a33d4431c62af5ca.0546
70,629.0,19,0.0,0.0,44749.0,0.0,0.0,is-e-acc-religion,is e/acc religion?,mXqKi8Y,000146.566787d21ddf4b49a33d4431c62af5ca.0546
70,14.0,9,0.0,0.0,0.0,22.0,56275.0,is-e-acc-religion,is e/acc religion?,mXqKi8Y,000146.566787d21ddf4b49a33d4431c62af5ca.0546
71,155.0,47,1539.0,0.0,0.0,0.0,0.0,choose,choose…,s9efPLn,000119.de18077eaf40490a85edd30210cbae60.0627
71,82.0,18,0.0,0.0,12075.0,0.0,0.0,choose,choose…,s9efPLn,000119.de18077eaf40490a85edd30210cbae60.0627
71,558.0,9,0.0,0.0,0.0,58.0,56278.0,choose,choose…,s9efPLn,000119.de18077eaf40490a85edd30210cbae60.0627
72,150.0,47,1559.0,0.0,0.0,0.0,0.0,how-would-you,how would you?,UIOHEmG,001396.b98149eedfe24164ae08c1b302fffb7a.1805
72,81.0,19,0.0,0.0,21381.0,0.0,0.0,how-would-you,how would you?,UIOHEmG,001396.b98149eedfe24164ae08c1b302fffb7a.1805
72,161.0,9,0.0,0.0,0.0,45.0,56327.0,how-would-you,how would you?,UIOHEmG,001396.b98149eedfe24164ae08c1b302fffb7a.1805
92,151.0,121,44702.0,0.0,0.0,0.0,0.0,0,0,0,0
92,571.0,9,0.0,0.0,54015.0,0.0,0.0,0,0,0,0
92,60.0,9,0.0,0.0,0.0,56.0,46791.0,0,0,0,0
93,627.0,121,44713.0,0.0,0.0,0.0,0.0,do-not-conform-to-a-dying-society,do not conform to a dying society,lZ-1CTZ,001732.caafd7fd480e473d9b86f4005b416ec5.1331
93,16.0,36,0.0,5802.0,0.0,0.0,0.0,do-not-conform-to-a-dying-society,do not conform to a dying society,lZ-1CTZ,001732.caafd7fd480e473d9b86f4005b416ec5.1331
93,411.0,9,0.0,0.0,54306.0,0.0,0.0,do-not-conform-to-a-dying-society,do not conform to a dying society,lZ-1CTZ,001732.caafd7fd480e473d9b86f4005b416ec5.1331
