id,post_id,user_id,view_time_seconds,like_time_seconds,inspiration_time_seconds,rating_percent,rated_posts_time_seconds,slug,title,identifier,username,engagement_score,normalized_score,mood_score,mood
35,415.0,167,0.0,0.0,0.0,68.0,9677.0,life-is-shorter-than-you-think,Life is shorter than you think,mYGJL63,JohnDoeUsername,1935.6000000000001,0.07483624496361428,0.0,Negative
36,66.0,44,67155.0,0.0,0.0,0.0,0.0,knowledge-will-liberate-you,Knowledge will liberate you,ir6EYdh,elimisteve,20146.7,0.7790061016634573,0.0,Negative
36,135.0,31,0.0,78066.0,0.0,0.0,0.0,knowledge-will-liberate-you,Knowledge will liberate you,ir6EYdh,elimisteve,23420.0,0.905575017980187,0.0,Negative
36,159.0,1,0.0,0.0,50021.0,0.0,0.0,knowledge-will-liberate-you,Knowledge will liberate you,ir6EYdh,elimisteve,0.2,0.0,0.0,Negative
36,512.0,167,0.0,0.0,0.0,46.0,10438.0,knowledge-will-liberate-you,Knowledge will liberate you,ir6EYdh,elimisteve,2087.7999999999997,0.0807213728356108,0.0,Negative
37,65.0,44,67173.0,0.0,0.0,0.0,0.0,0,0,0,0,20152.1,0.7792149038349998,0.0,Negative
37,131.0,31,0.0,78222.0,0.0,0.0,0.0,0,0,0,0,23466.8,0.9073846368002226,0.0,Negative
37,160.0,1,0.0,0.0,50036.0,0.0,0.0,0,0,0,0,0.2,0.0,0.0,Negative
37,629.0,9,0.0,0.0,0.0,24.0,46389.0,0,0,0,0,9278.000000000002,0.35874533095144195,0.0,Negative
38,64.0,44,67185.0,0.0,0.0,0.0,0.0,meditate,meditate🧘‍♂️,UeFcjDi,000546.ecffafac6b704e3eae3a44839033d230.1601,20155.7,0.779354105282695,0.0,Negative
38,84.0,31,0.0,78382.0,0.0,0.0,0.0,meditate,meditate🧘‍♂️,UeFcjDi,000546.ecffafac6b704e3eae3a44839033d230.1601,23514.8,0.9092406561028235,0.0,Negative
38,161.0,1,0.0,0.0,50048.0,0.0,0.0,meditate,meditate🧘‍♂️,UeFcjDi,000546.ecffafac6b704e3eae3a44839033d230.1601,0.2,0.0,0.0,Negative
38,560.0,5,0.0,0.0,0.0,60.0,40551.0,meditate,meditate🧘‍♂️,UeFcjDi,000546.ecffafac6b704e3eae3a44839033d230.1601,8110.400000000001,0.31359766141567874,0.0,Negative
39,63.0,44,67198.0,0.0,0.0,0.0,0.0,take-the-holy-vible-pill,take the holy vible pill :),hz-SaH5,swapnil,20159.6,0.7795049068510311,0.0,Negative
39,161.0,5,0.0,11706.0,0.0,0.0,0.0,take-the-holy-vible-pill,take the holy vible pill :),hz-SaH5,swapnil,3511.9999999999995,0.13579101222652712,0.0,Negative
39,163.0,1,0.0,0.0,50057.0,0.0,0.0,take-the-holy-vible-pill,take the holy vible pill :),hz-SaH5,swapnil,0.2,0.0,0.0,Negative
39,31.0,5,0.0,0.0,0.0,65.0,40632.0,take-the-holy-vible-pill,take the holy vible pill :),hz-SaH5,swapnil,8126.6,0.3142240679303065,0.0,Negative
40,151.0,47,68525.0,0.0,0.0,0.0,0.0,trials-to-test-you,trials to test you...,LDq-waR,001461.5bcb267016d7471082d9010e18b9782b.0042,20557.7,0.7948982669419762,0.0,Negative
40,164.0,1,0.0,0.0,50060.0,0.0,0.0,trials-to-test-you,trials to test you...,LDq-waR,001461.5bcb267016d7471082d9010e18b9782b.0042,0.2,0.0,0.0,Negative
40,551.0,9,0.0,0.0,0.0,36.0,63662.0,trials-to-test-you,trials to test you...,LDq-waR,001461.5bcb267016d7471082d9010e18b9782b.0042,12732.600000000002,0.4923245868423699,0.0,Negative
41,161.0,47,68539.0,0.0,0.0,0.0,0.0,0,0,0,0,20561.9,0.7950606686309538,0.0,Negative
41,151.0,18,0.0,0.0,35271.0,0.0,0.0,0,0,0,0,0.2,0.0,0.0,Negative
41,159.0,9,0.0,0.0,0.0,60.0,66192.0,0,0,0,0,13238.600000000002,0.5118901236572861,0.0,Negative
42,415.0,47,68554.0,0.0,0.0,0.0,0.0,0,0,0,0,20566.4,0.7952346704405726,0.0,Negative
42,190.0,18,0.0,2058.0,0.0,0.0,0.0,0,0,0,0,617.6,0.023873048279702106,0.0,Negative
42,588.0,118,0.0,0.0,70127.0,0.0,0.0,0,0,0,0,0.2,0.0,0.0,Negative
42,143.0,9,0.0,0.0,0.0,74.0,66713.0,0,0,0,0,13342.800000000001,0.5159192322266819,0.0,Negative
43,583.0,118,70102.0,0.0,0.0,0.0,0.0,why-are-you-here,why are you here?,G7fiCPQ,000011.c33f3c2b12f14bf39a63284a6fea5ad7.1330,21030.8,0.8131916571932347,0.0,Negative
43,189.0,18,0.0,2111.0,0.0,0.0,0.0,why-are-you-here,why are you here?,G7fiCPQ,000011.c33f3c2b12f14bf39a63284a6fea5ad7.1330,633.5,0.024487854673688605,0.0,Negative
43,512.0,47,0.0,0.0,78167.0,0.0,0.0,why-are-you-here,why are you here?,G7fiCPQ,000011.c33f3c2b12f14bf39a63284a6fea5ad7.1330,0.2,0.0,0.0,Negative
